t_wql,trp,cdom,temp
10-01-2024 00:06:00,107.618783964197,3504.59028657056,21.67
10-01-2024 00:16:00,104.881996070256,3503.18312173286,21.64
10-01-2024 00:26:00,106.59156393137,3512.03807230149,21.62
10-01-2024 00:36:00,106.181201991872,3513.79856397101,21.6
10-01-2024 00:46:00,107.377114991276,3521.57755507074,21.56
10-01-2024 00:56:00,107.164352768304,3527.45756852034,21.53
10-01-2024 01:06:00,106.850794764414,3536.27025328527,21.5
10-01-2024 01:16:00,108.650951193287,3535.43429581894,21.46
10-01-2024 01:26:00,107.026468136929,3543.73419804065,21.43
10-01-2024 01:36:00,106.507292204956,3553.91999756018,21.39
10-01-2024 01:46:00,108.209900905249,3560.08737527545,21.36
10-01-2024 01:56:00,107.992963061135,3566.01686174302,21.32
10-01-2024 02:06:00,108.477012993253,3578.37560570461,21.27
10-01-2024 02:16:00,108.050127253547,3588.3669588021,21.21
10-01-2024 02:26:00,108.039063488314,3594.51699211675,21.18
10-01-2024 02:36:00,107.621077067046,3592.85708021668,21.14
10-01-2024 02:46:00,108.511575591066,3598.05918761082,21.1
10-01-2024 02:56:00,108.198583166277,3597.14044682105,21.07
10-01-2024 03:06:00,108.786799656401,3599.01059660236,21.03
10-01-2024 03:16:00,107.966716185124,3600.87956299135,20.99
10-01-2024 03:26:00,108.659583144634,3604.59694161568,20.96
10-01-2024 03:36:00,107.136135831072,3606.46308715236,20.92
10-01-2024 03:46:00,107.828869516259,3608.66618183246,20.89
10-01-2024 03:56:00,107.616883747529,3610.56612389137,20.86
10-01-2024 04:06:00,107.601683063144,3612.22756670803,20.82
10-01-2024 04:16:00,107.988296435679,3612.2778284319,20.78
10-01-2024 04:26:00,108.479459967743,3616.28805131091,20.75
10-01-2024 04:36:00,107.861610830393,3616.63875419959,20.71
10-01-2024 04:46:00,107.545211537339,3615.78273926813,20.67
10-01-2024 04:56:00,108.136514523056,3618.38133204005,20.64
10-01-2024 05:06:00,108.321917157837,3619.73600099186,20.6
10-01-2024 05:16:00,108.607559478314,3617.97575154747,20.56
10-01-2024 05:26:00,109.298613702143,3618.36211357224,20.53
10-01-2024 05:36:00,105.973728938783,3617.40654246522,20.49
10-01-2024 05:46:00,108.87080800075,3625.32081240916,20.46
10-01-2024 05:56:00,108.955614594783,3621.65440517109,20.42
10-01-2024 06:06:00,109.336703174789,3624.57368886786,20.37
10-01-2024 06:16:00,108.624134573796,3627.06375266877,20.34
10-01-2024 06:26:00,109.510329552039,3624.00189585305,20.3
10-01-2024 06:36:00,107.095373971373,3626.08985834692,20.27
10-01-2024 06:46:00,107.88143468267,3626.13587225393,20.23
10-01-2024 06:56:00,108.667134574843,3630.98926045473,20.19
10-01-2024 07:06:00,108.856259692822,3631.37154363266,20.16
10-01-2024 07:16:00,109.541352133232,3632.81725812526,20.12
