"","agency_cd","site_no","dateTime","X_00065_00000","X_00065_00000_cd","tz_cd"
"1","USGS","11022830","2024-09-01 00:00:00",1.65,"P","America/Los_Angeles"
"2","USGS","11022830","2024-09-01 00:15:00",1.65,"P","America/Los_Angeles"
"3","USGS","11022830","2024-09-01 00:30:00",1.65,"P","America/Los_Angeles"
"4","USGS","11022830","2024-09-01 00:45:00",1.65,"P","America/Los_Angeles"
"5","USGS","11022830","2024-09-01 01:00:00",1.65,"P","America/Los_Angeles"
"6","USGS","11022830","2024-09-01 01:15:00",1.65,"P","America/Los_Angeles"
"7","USGS","11022830","2024-09-01 01:30:00",1.65,"P","America/Los_Angeles"
"8","USGS","11022830","2024-09-01 01:45:00",1.65,"P","America/Los_Angeles"
"9","USGS","11022830","2024-09-01 02:00:00",1.65,"P","America/Los_Angeles"
"10","USGS","11022830","2024-09-01 02:15:00",1.65,"P","America/Los_Angeles"
"11","USGS","11022830","2024-09-01 02:30:00",1.65,"P","America/Los_Angeles"
"12","USGS","11022830","2024-09-01 02:45:00",1.65,"P","America/Los_Angeles"
"13","USGS","11022830","2024-09-01 03:00:00",1.66,"P","America/Los_Angeles"
"14","USGS","11022830","2024-09-01 03:15:00",1.65,"P","America/Los_Angeles"
"15","USGS","11022830","2024-09-01 03:30:00",1.65,"P","America/Los_Angeles"
"16","USGS","11022830","2024-09-01 03:45:00",1.66,"P","America/Los_Angeles"
"17","USGS","11022830","2024-09-01 04:00:00",1.65,"P","America/Los_Angeles"
"18","USGS","11022830","2024-09-01 04:15:00",1.66,"P","America/Los_Angeles"
"19","USGS","11022830","2024-09-01 04:30:00",1.66,"P","America/Los_Angeles"
"20","USGS","11022830","2024-09-01 04:45:00",1.66,"P","America/Los_Angeles"
"21","USGS","11022830","2024-09-01 05:00:00",1.66,"P","America/Los_Angeles"
"22","USGS","11022830","2024-09-01 05:15:00",1.66,"P","America/Los_Angeles"
"23","USGS","11022830","2024-09-01 05:30:00",1.66,"P","America/Los_Angeles"
"24","USGS","11022830","2024-09-01 05:45:00",1.66,"P","America/Los_Angeles"
"25","USGS","11022830","2024-09-01 06:00:00",1.66,"P","America/Los_Angeles"
"26","USGS","11022830","2024-09-01 06:15:00",1.66,"P","America/Los_Angeles"
"27","USGS","11022830","2024-09-01 06:30:00",1.66,"P","America/Los_Angeles"
"28","USGS","11022830","2024-09-01 06:45:00",1.66,"P","America/Los_Angeles"
"29","USGS","11022830","2024-09-01 07:00:00",1.66,"P","America/Los_Angeles"
"30","USGS","11022830","2024-09-01 07:15:00",1.66,"P","America/Los_Angeles"
"31","USGS","11022830","2024-09-01 07:30:00",1.66,"P","America/Los_Angeles"
"32","USGS","11022830","2024-09-01 07:45:00",1.66,"P","America/Los_Angeles"
"33","USGS","11022830","2024-09-01 08:00:00",1.66,"P","America/Los_Angeles"
"34","USGS","11022830","2024-09-01 08:15:00",1.66,"P","America/Los_Angeles"
"35","USGS","11022830","2024-09-01 08:30:00",1.66,"P","America/Los_Angeles"
"36","USGS","11022830","2024-09-01 08:45:00",1.66,"P","America/Los_Angeles"
"37","USGS","11022830","2024-09-01 09:00:00",1.67,"P","America/Los_Angeles"
"38","USGS","11022830","2024-09-01 09:15:00",1.66,"P","America/Los_Angeles"
"39","USGS","11022830","2024-09-01 09:30:00",1.66,"P","America/Los_Angeles"
"40","USGS","11022830","2024-09-01 09:45:00",1.66,"P","America/Los_Angeles"
"41","USGS","11022830","2024-09-01 10:00:00",1.66,"P","America/Los_Angeles"
"42","USGS","11022830","2024-09-01 10:15:00",1.66,"P","America/Los_Angeles"
"43","USGS","11022830","2024-09-01 10:30:00",1.66,"P","America/Los_Angeles"
"44","USGS","11022830","2024-09-01 10:45:00",1.66,"P","America/Los_Angeles"
"45","USGS","11022830","2024-09-01 11:00:00",1.66,"P","America/Los_Angeles"
"46","USGS","11022830","2024-09-01 11:15:00",1.66,"P","America/Los_Angeles"
"47","USGS","11022830","2024-09-01 11:30:00",1.65,"P","America/Los_Angeles"
"48","USGS","11022830","2024-09-01 11:45:00",1.66,"P","America/Los_Angeles"
"49","USGS","11022830","2024-09-01 12:00:00",1.65,"P","America/Los_Angeles"
"50","USGS","11022830","2024-09-01 12:15:00",1.65,"P","America/Los_Angeles"
"51","USGS","11022830","2024-09-01 12:30:00",1.65,"P","America/Los_Angeles"
"52","USGS","11022830","2024-09-01 12:45:00",1.65,"P","America/Los_Angeles"
"53","USGS","11022830","2024-09-01 13:00:00",1.64,"P","America/Los_Angeles"
"54","USGS","11022830","2024-09-01 13:15:00",1.65,"P","America/Los_Angeles"
"55","USGS","11022830","2024-09-01 13:30:00",1.64,"P","America/Los_Angeles"
"56","USGS","11022830","2024-09-01 13:45:00",1.64,"P","America/Los_Angeles"
"57","USGS","11022830","2024-09-01 14:00:00",1.64,"P","America/Los_Angeles"
"58","USGS","11022830","2024-09-01 14:15:00",1.64,"P","America/Los_Angeles"
"59","USGS","11022830","2024-09-01 14:30:00",1.64,"P","America/Los_Angeles"
"60","USGS","11022830","2024-09-01 14:45:00",1.64,"P","America/Los_Angeles"
"61","USGS","11022830","2024-09-01 15:00:00",1.64,"P","America/Los_Angeles"
"62","USGS","11022830","2024-09-01 15:15:00",1.64,"P","America/Los_Angeles"
"63","USGS","11022830","2024-09-01 15:30:00",1.63,"P","America/Los_Angeles"
"64","USGS","11022830","2024-09-01 15:45:00",1.63,"P","America/Los_Angeles"
"65","USGS","11022830","2024-09-01 16:00:00",1.63,"P","America/Los_Angeles"
"66","USGS","11022830","2024-09-01 16:15:00",1.63,"P","America/Los_Angeles"
"67","USGS","11022830","2024-09-01 16:30:00",1.63,"P","America/Los_Angeles"
"68","USGS","11022830","2024-09-01 16:45:00",1.63,"P","America/Los_Angeles"
"69","USGS","11022830","2024-09-01 17:00:00",1.64,"P","America/Los_Angeles"
"70","USGS","11022830","2024-09-01 17:15:00",1.64,"P","America/Los_Angeles"
"71","USGS","11022830","2024-09-01 17:30:00",1.64,"P","America/Los_Angeles"
"72","USGS","11022830","2024-09-01 17:45:00",1.63,"P","America/Los_Angeles"
"73","USGS","11022830","2024-09-01 18:00:00",1.63,"P","America/Los_Angeles"
"74","USGS","11022830","2024-09-01 18:15:00",1.63,"P","America/Los_Angeles"
"75","USGS","11022830","2024-09-01 18:30:00",1.63,"P","America/Los_Angeles"
"76","USGS","11022830","2024-09-01 18:45:00",1.63,"P","America/Los_Angeles"
"77","USGS","11022830","2024-09-01 19:00:00",1.63,"P","America/Los_Angeles"
"78","USGS","11022830","2024-09-01 19:15:00",1.64,"P","America/Los_Angeles"
"79","USGS","11022830","2024-09-01 19:30:00",1.63,"P","America/Los_Angeles"
"80","USGS","11022830","2024-09-01 19:45:00",1.64,"P","America/Los_Angeles"
"81","USGS","11022830","2024-09-01 20:00:00",1.64,"P","America/Los_Angeles"
"82","USGS","11022830","2024-09-01 20:15:00",1.64,"P","America/Los_Angeles"
"83","USGS","11022830","2024-09-01 20:30:00",1.63,"P","America/Los_Angeles"
"84","USGS","11022830","2024-09-01 20:45:00",1.64,"P","America/Los_Angeles"
"85","USGS","11022830","2024-09-01 21:00:00",1.64,"P","America/Los_Angeles"
"86","USGS","11022830","2024-09-01 21:15:00",1.64,"P","America/Los_Angeles"
"87","USGS","11022830","2024-09-01 21:30:00",1.64,"P","America/Los_Angeles"
"88","USGS","11022830","2024-09-01 21:45:00",1.64,"P","America/Los_Angeles"
"89","USGS","11022830","2024-09-01 22:00:00",1.64,"P","America/Los_Angeles"
"90","USGS","11022830","2024-09-01 22:15:00",1.64,"P","America/Los_Angeles"
"91","USGS","11022830","2024-09-01 22:30:00",1.64,"P","America/Los_Angeles"
"92","USGS","11022830","2024-09-01 22:45:00",1.64,"P","America/Los_Angeles"
"93","USGS","11022830","2024-09-01 23:00:00",1.64,"P","America/Los_Angeles"
"94","USGS","11022830","2024-09-01 23:15:00",1.64,"P","America/Los_Angeles"
"95","USGS","11022830","2024-09-01 23:30:00",1.64,"P","America/Los_Angeles"
"96","USGS","11022830","2024-09-01 23:45:00",1.64,"P","America/Los_Angeles"
"97","USGS","11022830","2024-09-02 00:00:00",1.65,"P","America/Los_Angeles"
"98","USGS","11022830","2024-09-02 00:15:00",1.64,"P","America/Los_Angeles"
"99","USGS","11022830","2024-09-02 00:30:00",1.65,"P","America/Los_Angeles"
"100","USGS","11022830","2024-09-02 00:45:00",1.65,"P","America/Los_Angeles"
"101","USGS","11022830","2024-09-02 01:00:00",1.65,"P","America/Los_Angeles"
"102","USGS","11022830","2024-09-02 01:15:00",1.65,"P","America/Los_Angeles"
"103","USGS","11022830","2024-09-02 01:30:00",1.65,"P","America/Los_Angeles"
"104","USGS","11022830","2024-09-02 01:45:00",1.65,"P","America/Los_Angeles"
"105","USGS","11022830","2024-09-02 02:00:00",1.65,"P","America/Los_Angeles"
"106","USGS","11022830","2024-09-02 02:15:00",1.65,"P","America/Los_Angeles"
"107","USGS","11022830","2024-09-02 02:30:00",1.65,"P","America/Los_Angeles"
"108","USGS","11022830","2024-09-02 02:45:00",1.65,"P","America/Los_Angeles"
"109","USGS","11022830","2024-09-02 03:00:00",1.65,"P","America/Los_Angeles"
"110","USGS","11022830","2024-09-02 03:15:00",1.65,"P","America/Los_Angeles"
"111","USGS","11022830","2024-09-02 03:30:00",1.65,"P","America/Los_Angeles"
"112","USGS","11022830","2024-09-02 03:45:00",1.65,"P","America/Los_Angeles"
"113","USGS","11022830","2024-09-02 04:00:00",1.66,"P","America/Los_Angeles"
"114","USGS","11022830","2024-09-02 04:15:00",1.66,"P","America/Los_Angeles"
"115","USGS","11022830","2024-09-02 04:30:00",1.66,"P","America/Los_Angeles"
"116","USGS","11022830","2024-09-02 04:45:00",1.66,"P","America/Los_Angeles"
"117","USGS","11022830","2024-09-02 05:00:00",1.65,"P","America/Los_Angeles"
"118","USGS","11022830","2024-09-02 05:15:00",1.66,"P","America/Los_Angeles"
"119","USGS","11022830","2024-09-02 05:30:00",1.66,"P","America/Los_Angeles"
"120","USGS","11022830","2024-09-02 05:45:00",1.66,"P","America/Los_Angeles"
"121","USGS","11022830","2024-09-02 06:00:00",1.66,"P","America/Los_Angeles"
"122","USGS","11022830","2024-09-02 06:15:00",1.66,"P","America/Los_Angeles"
"123","USGS","11022830","2024-09-02 06:30:00",1.66,"P","America/Los_Angeles"
"124","USGS","11022830","2024-09-02 06:45:00",1.66,"P","America/Los_Angeles"
"125","USGS","11022830","2024-09-02 07:00:00",1.66,"P","America/Los_Angeles"
"126","USGS","11022830","2024-09-02 07:15:00",1.66,"P","America/Los_Angeles"
"127","USGS","11022830","2024-09-02 07:30:00",1.66,"P","America/Los_Angeles"
"128","USGS","11022830","2024-09-02 07:45:00",1.67,"P","America/Los_Angeles"
"129","USGS","11022830","2024-09-02 08:00:00",1.67,"P","America/Los_Angeles"
"130","USGS","11022830","2024-09-02 08:15:00",1.67,"P","America/Los_Angeles"
"131","USGS","11022830","2024-09-02 08:30:00",1.66,"P","America/Los_Angeles"
"132","USGS","11022830","2024-09-02 08:45:00",1.67,"P","America/Los_Angeles"
"133","USGS","11022830","2024-09-02 09:00:00",1.67,"P","America/Los_Angeles"
"134","USGS","11022830","2024-09-02 09:15:00",1.66,"P","America/Los_Angeles"
"135","USGS","11022830","2024-09-02 09:30:00",1.66,"P","America/Los_Angeles"
"136","USGS","11022830","2024-09-02 09:45:00",1.66,"P","America/Los_Angeles"
"137","USGS","11022830","2024-09-02 10:00:00",1.66,"P","America/Los_Angeles"
"138","USGS","11022830","2024-09-02 10:15:00",1.67,"P","America/Los_Angeles"
"139","USGS","11022830","2024-09-02 10:30:00",1.66,"P","America/Los_Angeles"
"140","USGS","11022830","2024-09-02 10:45:00",1.66,"P","America/Los_Angeles"
"141","USGS","11022830","2024-09-02 11:00:00",1.66,"P","America/Los_Angeles"
"142","USGS","11022830","2024-09-02 11:15:00",1.66,"P","America/Los_Angeles"
"143","USGS","11022830","2024-09-02 11:30:00",1.66,"P","America/Los_Angeles"
"144","USGS","11022830","2024-09-02 11:45:00",1.66,"P","America/Los_Angeles"
"145","USGS","11022830","2024-09-02 12:00:00",1.66,"P","America/Los_Angeles"
"146","USGS","11022830","2024-09-02 12:15:00",1.65,"P","America/Los_Angeles"
"147","USGS","11022830","2024-09-02 12:30:00",1.65,"P","America/Los_Angeles"
"148","USGS","11022830","2024-09-02 12:45:00",1.65,"P","America/Los_Angeles"
"149","USGS","11022830","2024-09-02 13:00:00",1.64,"P","America/Los_Angeles"
"150","USGS","11022830","2024-09-02 13:15:00",1.64,"P","America/Los_Angeles"
"151","USGS","11022830","2024-09-02 13:30:00",1.64,"P","America/Los_Angeles"
"152","USGS","11022830","2024-09-02 13:45:00",1.64,"P","America/Los_Angeles"
"153","USGS","11022830","2024-09-02 14:00:00",1.64,"P","America/Los_Angeles"
"154","USGS","11022830","2024-09-02 14:15:00",1.64,"P","America/Los_Angeles"
"155","USGS","11022830","2024-09-02 14:30:00",1.64,"P","America/Los_Angeles"
"156","USGS","11022830","2024-09-02 14:45:00",1.64,"P","America/Los_Angeles"
"157","USGS","11022830","2024-09-02 15:00:00",1.64,"P","America/Los_Angeles"
"158","USGS","11022830","2024-09-02 15:15:00",1.64,"P","America/Los_Angeles"
"159","USGS","11022830","2024-09-02 15:30:00",1.64,"P","America/Los_Angeles"
"160","USGS","11022830","2024-09-02 15:45:00",1.64,"P","America/Los_Angeles"
"161","USGS","11022830","2024-09-02 16:00:00",1.64,"P","America/Los_Angeles"
"162","USGS","11022830","2024-09-02 16:15:00",1.63,"P","America/Los_Angeles"
"163","USGS","11022830","2024-09-02 16:30:00",1.63,"P","America/Los_Angeles"
"164","USGS","11022830","2024-09-02 16:45:00",1.64,"P","America/Los_Angeles"
"165","USGS","11022830","2024-09-02 17:00:00",1.63,"P","America/Los_Angeles"
"166","USGS","11022830","2024-09-02 17:15:00",1.64,"P","America/Los_Angeles"
"167","USGS","11022830","2024-09-02 17:30:00",1.64,"P","America/Los_Angeles"
"168","USGS","11022830","2024-09-02 17:45:00",1.63,"P","America/Los_Angeles"
"169","USGS","11022830","2024-09-02 18:00:00",1.63,"P","America/Los_Angeles"
"170","USGS","11022830","2024-09-02 18:15:00",1.64,"P","America/Los_Angeles"
"171","USGS","11022830","2024-09-02 18:30:00",1.64,"P","America/Los_Angeles"
"172","USGS","11022830","2024-09-02 18:45:00",1.63,"P","America/Los_Angeles"
"173","USGS","11022830","2024-09-02 19:00:00",1.64,"P","America/Los_Angeles"
"174","USGS","11022830","2024-09-02 19:15:00",1.63,"P","America/Los_Angeles"
"175","USGS","11022830","2024-09-02 19:30:00",1.63,"P","America/Los_Angeles"
"176","USGS","11022830","2024-09-02 19:45:00",1.64,"P","America/Los_Angeles"
"177","USGS","11022830","2024-09-02 20:00:00",1.64,"P","America/Los_Angeles"
"178","USGS","11022830","2024-09-02 20:15:00",1.64,"P","America/Los_Angeles"
"179","USGS","11022830","2024-09-02 20:30:00",1.64,"P","America/Los_Angeles"
"180","USGS","11022830","2024-09-02 20:45:00",1.64,"P","America/Los_Angeles"
"181","USGS","11022830","2024-09-02 21:00:00",1.64,"P","America/Los_Angeles"
"182","USGS","11022830","2024-09-02 21:15:00",1.64,"P","America/Los_Angeles"
"183","USGS","11022830","2024-09-02 21:30:00",1.64,"P","America/Los_Angeles"
"184","USGS","11022830","2024-09-02 21:45:00",1.64,"P","America/Los_Angeles"
"185","USGS","11022830","2024-09-02 22:00:00",1.65,"P","America/Los_Angeles"
"186","USGS","11022830","2024-09-02 22:15:00",1.64,"P","America/Los_Angeles"
"187","USGS","11022830","2024-09-02 22:30:00",1.65,"P","America/Los_Angeles"
"188","USGS","11022830","2024-09-02 22:45:00",1.64,"P","America/Los_Angeles"
