Site,"Alvarado Creek","Alvarado Creek","Alvarado Creek"
"Time America/Tijuana UTC-08:00","Tryptophan (RFU)","CDOM (RFU)",Temperature
,RFU,RFU,C
"01-01-2025 00:04:10",60.2,1134.3,13.20
"01-01-2025 00:14:10",60.8,1136.4,13.19
"01-01-2025 00:24:10",58.3,1139.6,13.19
"01-01-2025 00:34:10",59.3,1141.6,13.19
"01-01-2025 00:44:10",59.2,1143.0,13.19
"01-01-2025 00:54:10",59.6,1142.7,13.20
"01-01-2025 01:04:10",59.8,1144.9,13.20
"01-01-2025 01:14:10",60.3,1146.1,13.20
"01-01-2025 01:24:10",58.9,1149.2,13.20
"01-01-2025 01:34:10",60.4,1150.5,13.19
"01-01-2025 01:44:10",60.4,1153.8,13.19
"01-01-2025 01:54:10",58.8,1153.3,13.18
"01-01-2025 02:04:10",60.4,1151.6,13.18
"01-01-2025 02:14:10",58.6,1153.5,13.16
"01-01-2025 02:24:10",62.1,1152.7,13.16
"01-01-2025 02:34:10",59.6,1155.4,13.15
"01-01-2025 02:44:10",61.3,1157.2,13.14
"01-01-2025 02:54:10",60.3,1158.4,13.13
"01-01-2025 03:04:10",59.3,1158.2,13.12
"01-01-2025 03:14:10",60.1,1159.0,13.11
"01-01-2025 03:24:10",60.7,1162.2,13.10
"01-01-2025 03:34:10",59.9,1162.4,13.09
"01-01-2025 03:44:10",60.1,1164.2,13.07
"01-01-2025 03:54:10",58.1,1167.9,13.05
"01-01-2025 04:04:10",58.9,1168.7,13.04
"01-01-2025 04:14:10",60.4,1170.0,13.02
"01-01-2025 04:24:10",59.6,1170.4,13.00
"01-01-2025 04:34:10",60.0,1171.0,12.99
"01-01-2025 04:44:10",59.5,1173.4,12.96
"01-01-2025 04:54:10",59.2,1174.0,12.95
"01-01-2025 05:04:10",60.5,1172.3,12.93
"01-01-2025 05:14:10",58.6,1172.5,12.92
"01-01-2025 05:24:10",60.0,1173.3,12.90
"01-01-2025 05:34:10",60.0,1175.0,12.88
"01-01-2025 05:44:10",58.9,1172.5,12.86
"01-01-2025 06:04:10",58.3,1175.9,12.81
"01-01-2025 06:14:10",59.4,1175.6,12.79
"01-01-2025 06:24:10",59.9,1175.4,12.77
"01-01-2025 06:34:10",59.7,1173.7,12.74
"01-01-2025 06:44:10",58.6,1174.1,12.72
"01-01-2025 06:54:10",59.6,1173.6,12.70
"01-01-2025 07:04:10",58.9,1173.6,12.69
"01-01-2025 07:14:10",59.7,1172.2,12.66
"01-01-2025 07:24:10",59.3,1174.9,12.63
"01-01-2025 07:34:10",59.4,1174.8,12.61
"01-01-2025 07:44:10",60.0,1172.5,12.58
"01-01-2025 07:54:10",58.6,1173.8,12.55
"01-01-2025 08:04:10",59.8,1173.3,12.54
"01-01-2025 08:14:10",60.6,1172.1,12.50
"01-01-2025 08:24:10",58.5,1172.1,12.48
